TiaGitHubHash,TiaMetaInfo,TiaVstsHash,TiaRuntime,TiaTotalTests,TiaNumberOfUnAnalyzedTests,TiaNumberofTestsPassed,TiaNumberOfTestsFailed,TiaNumberOfTestsSkipped,TiaTotalNumberOfTestRun,TiaPercentageOfTestsRun,RetestAllGitHubHash,RetestAllMetaInfo,RetestAllVstsHash,RetestAllRuntime,RetestAllTotalTests,RetestAllNumberOfUnAnalyzedTests,RetestAllNumberofTestsPassed,RetestAllNumberOfTestsFailed,RetestAllNumberOfTestsSkipped,RetestAllTotalNumberOfTestRun,RetestAllPercentageOfTestsRun,ESharpGitHubHash,ESharpMetaInfo,ESharpVstsHash,ESharpRuntime,ESharpTotalTests,ESharpNumberOfUnAnalyzedTests,ESharpNumberofTestsPassed,ESharpNumberOfTestsFailed,ESharpNumberOfTestsSkipped,ESharpTotalNumberOfTestRun,ESharpPercentageOfTestsRun
24954fcd1bb98e7c4376cde789de48b3bda96fa9,ca5c3fc 324 commits back from current GitHub head Hash:24954fcd1bb98e7c4376cde789de48b3bda96fa9,,18.843,228,74,154,0,0,154,0.675438596491228,24954fcd1bb98e7c4376cde789de48b3bda96fa9,ca5c3fc 324 commits back from current GitHub head Hash:24954fcd1bb98e7c4376cde789de48b3bda96fa9,,1.944,158,0,158,0,0,158,1,24954fcd1bb98e7c4376cde789de48b3bda96fa9,324_24954fcd1bb98e7c4376cde789de48b3bda96fa9_Results,,0.009,158,158,0,0,0,0,0
667f210628bc99f063fed398ce594ceae052c15d,cc71de6 332 commits back from current GitHub head Hash:667f210628bc99f063fed398ce594ceae052c15d,,1.546,4,4,0,0,0,0,0,667f210628bc99f063fed398ce594ceae052c15d,cc71de6 332 commits back from current GitHub head Hash:667f210628bc99f063fed398ce594ceae052c15d,,1.15,4,0,4,0,0,4,1,667f210628bc99f063fed398ce594ceae052c15d,332_667f210628bc99f063fed398ce594ceae052c15d_Results,,0,4,4,0,0,0,0,0
55040abc29d85b58177928646c6e3d62d7b70038,ceabeb9 320 commits back from current GitHub head Hash:55040abc29d85b58177928646c6e3d62d7b70038,,15.68,228,153,75,0,0,75,0.328947368421053,55040abc29d85b58177928646c6e3d62d7b70038,ceabeb9 320 commits back from current GitHub head Hash:55040abc29d85b58177928646c6e3d62d7b70038,,1.883,158,0,158,0,0,158,1,55040abc29d85b58177928646c6e3d62d7b70038,320_55040abc29d85b58177928646c6e3d62d7b70038_Results,,0.67,158,156,2,0,0,2,0.0126582278481013
13b3f8d0d5929ee8b0953a0d7b589c44f2bad376,d06e225 252 commits back from current GitHub head Hash:13b3f8d0d5929ee8b0953a0d7b589c44f2bad376,,12.313,244,174,70,0,0,70,0.286885245901639,13b3f8d0d5929ee8b0953a0d7b589c44f2bad376,d06e225 252 commits back from current GitHub head Hash:13b3f8d0d5929ee8b0953a0d7b589c44f2bad376,,2.37,174,0,174,0,0,174,1,13b3f8d0d5929ee8b0953a0d7b589c44f2bad376,252_13b3f8d0d5929ee8b0953a0d7b589c44f2bad376_Results,,0.009,174,174,0,0,0,0,0
064facef245e34d0d60db2891ee8454336dae2d4,d0fcdda 350 commits back from current GitHub head Hash:064facef245e34d0d60db2891ee8454336dae2d4,,10.06,4,0,4,0,0,4,1,064facef245e34d0d60db2891ee8454336dae2d4,d0fcdda 350 commits back from current GitHub head Hash:064facef245e34d0d60db2891ee8454336dae2d4,,1.223,4,0,4,0,0,4,1,064facef245e34d0d60db2891ee8454336dae2d4,350_064facef245e34d0d60db2891ee8454336dae2d4_Results,,0.769,4,0,4,0,0,4,1
636855a96a75772eb12f3deca084da1a72b1139e,d19c61e 274 commits back from current GitHub head Hash:636855a96a75772eb12f3deca084da1a72b1139e,,18.76,232,74,158,0,0,158,0.681034482758621,636855a96a75772eb12f3deca084da1a72b1139e,d19c61e 274 commits back from current GitHub head Hash:636855a96a75772eb12f3deca084da1a72b1139e,,2.716,162,0,162,0,0,162,1,636855a96a75772eb12f3deca084da1a72b1139e,274_636855a96a75772eb12f3deca084da1a72b1139e_Results,,0.704,162,158,4,0,0,4,0.0246913580246914
979105144f51f08613fadb7c668a7c81518a88ec,d520b14 295 commits back from current GitHub head Hash:979105144f51f08613fadb7c668a7c81518a88ec,,17.12,228,72,156,0,0,156,0.684210526315789,979105144f51f08613fadb7c668a7c81518a88ec,d520b14 295 commits back from current GitHub head Hash:979105144f51f08613fadb7c668a7c81518a88ec,,2.006,158,0,158,0,0,158,1,979105144f51f08613fadb7c668a7c81518a88ec,295_979105144f51f08613fadb7c668a7c81518a88ec_Results,,3.683,158,2,156,0,0,156,0.987341772151899
94efa6d4b513171fcdd308529541c1adf73bfb63,d54c7a3 291 commits back from current GitHub head Hash:94efa6d4b513171fcdd308529541c1adf73bfb63,,13.773,228,152,76,0,0,76,0.333333333333333,94efa6d4b513171fcdd308529541c1adf73bfb63,d54c7a3 291 commits back from current GitHub head Hash:94efa6d4b513171fcdd308529541c1adf73bfb63,,1.92,158,0,158,0,0,158,1,94efa6d4b513171fcdd308529541c1adf73bfb63,291_94efa6d4b513171fcdd308529541c1adf73bfb63_Results,,0.677,158,156,2,0,0,2,0.0126582278481013
5caffed7325e9877f1fbb845a2944b2e635e564f,d9812bc 325 commits back from current GitHub head Hash:5caffed7325e9877f1fbb845a2944b2e635e564f,,19.26,228,74,154,0,0,154,0.675438596491228,5caffed7325e9877f1fbb845a2944b2e635e564f,d9812bc 325 commits back from current GitHub head Hash:5caffed7325e9877f1fbb845a2944b2e635e564f,,1.947,158,0,158,0,0,158,1,5caffed7325e9877f1fbb845a2944b2e635e564f,325_5caffed7325e9877f1fbb845a2944b2e635e564f_Results,,1.97,158,101,57,0,0,57,0.360759493670886
76fa3b3385377a99732058a1de45ccc216c0db4f,db26883 261 commits back from current GitHub head Hash:76fa3b3385377a99732058a1de45ccc216c0db4f,,14.073,243,165,78,0,0,78,0.320987654320988,76fa3b3385377a99732058a1de45ccc216c0db4f,db26883 261 commits back from current GitHub head Hash:76fa3b3385377a99732058a1de45ccc216c0db4f,,2.16,173,0,173,0,0,173,1,76fa3b3385377a99732058a1de45ccc216c0db4f,261_76fa3b3385377a99732058a1de45ccc216c0db4f_Results,,0.484,173,165,8,0,0,8,0.046242774566474
6e373468342c9604406c3055e9cb6eaac3a75e5e,dc0890c 284 commits back from current GitHub head Hash:6e373468342c9604406c3055e9cb6eaac3a75e5e,,17.694,228,72,156,0,0,156,0.684210526315789,6e373468342c9604406c3055e9cb6eaac3a75e5e,dc0890c 284 commits back from current GitHub head Hash:6e373468342c9604406c3055e9cb6eaac3a75e5e,,1.976,158,0,158,0,0,158,1,6e373468342c9604406c3055e9cb6eaac3a75e5e,284_6e373468342c9604406c3055e9cb6eaac3a75e5e_Results,,3.458,158,2,156,0,0,156,0.987341772151899
